,favourites_count,followers_count,friends_count,listed_count,retweet_count,statuses_count,text_length
1876,13709,109,267,6,906,22143,139
1877,175404,2396,2212,251,773,213842,140
1878,7984,1474,2388,66,0,7174,140
1879,20000,267,110,21,207,62980,110
1880,2864,407,912,2,131,3950,140
1881,1346,72,1031,2,906,4215,139
1882,12240,416,191,39,42,37906,140
1883,6393,137,217,4,0,5026,86
1884,394,112,77,10,1,2538,123
1885,27584,8227,1023,355,906,12968,139
1886,7053,564,946,8,7,21040,140
1887,120,22,80,1,0,993,127
1888,3058,155,361,3,90,3006,140
1889,321,72,94,1,4,1246,106
1890,20000,267,110,21,249,62980,49
1891,171,10759,1002,600,32,121023,140
1892,29282,738,1060,64,0,28792,78
1893,104260,1804,1714,98,16,129793,140
1894,810,72,173,1,61,1505,140
1895,191700,1701,1202,141,1,174124,140
1896,663,230,764,10,4,6591,118
1897,7,95,114,1,0,31,102
1898,17,45,152,1,275,388,100
1899,7218,817,1087,59,12,34634,140
1900,9075,912,1081,14,62,11937,140
1901,20000,267,110,21,124,62980,86
1902,93,25,18,0,60,1080,126
1903,18070,53,432,4,906,9975,139
1904,59,219,76,8,3,2608,136
1905,21799,430,532,23,3,60331,140
1906,7288,1015,1566,15,3,10627,136
1907,6177,367,332,16,0,21254,139
1908,89615,1178,709,43,1,43113,111
1909,368717,1575,1104,284,14,358427,109
1910,190958,4872,3068,281,351,236620,144
1911,30115,3248,2815,54,1,38426,58
1912,22245,355,284,19,1066,25592,148
1913,1257,491,254,6,0,19231,75
1914,1695,5662,5716,25,1,109431,111
1915,20947,719,649,14,0,37737,66
1916,8690,927,1169,25,0,6696,135
1917,8424,2998,929,66,0,153549,115
1918,90,16,38,0,4,68,138
1919,37165,2671,1755,124,1,103747,96
1920,252001,1613,1359,103,2,103816,140
1921,33,12,13,0,19,472,140
1922,6792,327,600,9,0,5386,106
1923,33,12,13,0,419,472,133
1924,132,762,951,46,36,30707,140
1925,53925,1606,1984,45,2,46856,58
1926,10267,176,159,5,0,11439,79
1927,14923,457,266,35,12,20543,140
1928,7288,1015,1566,15,125,10627,129
1929,1189,180,180,3,0,3614,113
1930,954,641,459,23,1,5752,92
1931,72,96,27,1,1,1342,62
1932,297,47,94,3,36,1007,140
1933,5855,381,631,13,0,9106,64
1934,1389,791,1513,1,4,1190,103
1935,441,351,592,2,0,217,108
1936,20000,267,110,21,109,62980,126
1937,33,12,13,0,4,472,114
1938,42533,2920,1359,55,3,87009,117
1939,921,371,590,4,102,2546,140
1940,0,1319,256,520,17,86109,130
1941,56,48,138,1,1,459,61
1942,11070,85,423,2,137,2840,140
1943,737489,2973,123,519,137,614332,140
1944,124171,16603,3544,558,17,138594,130
1945,72,96,27,1,0,1342,73
1946,1771,536,463,13,62,18004,140
1947,12399,573,502,37,0,23295,129
1948,345,886,961,5,8,9240,140
1949,103112,22423,868,249,12,90541,98
1950,51054,1039,2650,30,175,32062,140
1951,59354,594,630,28,42,42560,140
1952,1257,491,254,6,0,19231,90
1953,780,41,96,1,1,1736,111
1954,37165,2671,1755,124,2,103747,140
1955,176,49,124,1,0,1281,84
1956,10864,800,842,47,0,13751,103
1957,37165,2671,1755,124,1,103747,140
1958,27325,1009,980,27,12,150524,114
1959,3,15,35,1,0,540,121
1960,225,99,4,1,0,427,93
1961,19905,225,73,27,8,19952,113
1962,169634,1407,789,127,94,120866,126
1963,39274,518,127,31,102,29825,140
1964,1093,190,388,10,1,7638,140
